Commune,proportion23_6,prop_acc_autouroute,age,Hiver,Automne,Printemps,Ete,Plein_jour,Crepuscule_ou_aube,Nuit_s_eclairage_public,Nuit_a_eclairage_public_n_allume,Nuit_a_eclairage_public_allume,M,F,Conducteur,Passager,Pieton,prop_acc_deux_roues,prop_acc_quatre_roues,prop_acc_bus_train,Superficie,prop_chaumage,prop_actif,score_norm,score_bin,score_multi
31118,0.0,0.0,35.0,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,11.0,1.0,0.0,0.09,0.73,0.0,28.32,0.041691473039742966,0.5487977203544399,0.7598899042962117,1,3
26005,0.17,0.33,36.0,0.0,0.3333333333333333,0.5,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.3333333333333333,0.6666666666666666,10.0,5.0,0.0,0.3,0.7,0.0,28.81,0.04111649220190229,0.4848282882824098,0.7137064283992203,1,3
87103,0.0,0.0,27.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,0.33,0.67,0.0,25.42,0.041304702351201115,0.40759776806425274,0.39634056454435923,0,2
78073,0.0,0.57,42.0,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.7142857142857143,0.0,0.2857142857142857,0.0,0.0,0.7142857142857143,0.2857142857142857,19.0,4.0,0.0,0.0,0.89,0.0,5.48,0.03441308730572985,0.4959240352976796,0.6675671743014218,1,3
24504,1.0,0.0,19.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,10.7,0.03531790863528156,0.3884006525720919,0.27678127609214237,0,1
27317,0.0,0.0,63.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.5,0.5,0.0,7.5,0.052051128255351305,0.4672888971911332,0.3609385246981999,0,2
51244,1.0,0.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,39.42,0.020833333333333322,0.44583333333333197,0.2519371746949009,0,1
45273,0.0,0.0,42.0,0.5,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,3.0,0.0,1.0,0.0,1.0,0.0,25.45,0.05196954650777888,0.45845746441575635,0.557032494455767,1,2
35004,0.0,0.0,29.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.75,0.25,0.0,79.01,0.04386814267395262,0.3984690619717694,0.5054889815064079,1,2
69295,0.25,0.75,31.0,0.25,0.0,0.75,0.0,0.75,0.0,0.25,0.0,0.0,0.25,0.75,6.0,8.0,0.0,0.17,0.67,0.0,10.45,0.03932049087472161,0.5219183166392006,0.726656265704883,1,3
